provincia,id_provincia,nombres_provincia,cadena,valor,id_cadena
Ciudad Autónoma de Buenos Aires,2.0,CABA,ajo,0.0,1.0
Ciudad Autónoma de Buenos Aires,2.0,CABA,algodón,0.0,2.0
Ciudad Autónoma de Buenos Aires,2.0,CABA,arroz,0.0,3.0
Ciudad Autónoma de Buenos Aires,2.0,CABA,avícola,0.0,4.0
Ciudad Autónoma de Buenos Aires,2.0,CABA,berries,0.0,5.0
Ciudad Autónoma de Buenos Aires,2.0,CABA,bovina,0.0,6.0
Ciudad Autónoma de Buenos Aires,2.0,CABA,caña de azucar,0.0,7.0
Ciudad Autónoma de Buenos Aires,2.0,CABA,caprino,0.0,8.0
Ciudad Autónoma de Buenos Aires,2.0,CABA,cebada,0.0,9.0
Ciudad Autónoma de Buenos Aires,2.0,CABA,cítricos,0.0,10.0
Ciudad Autónoma de Buenos Aires,2.0,CABA,colza,0.0,11.0
Ciudad Autónoma de Buenos Aires,2.0,CABA,forestal,0.0,12.0
Ciudad Autónoma de Buenos Aires,2.0,CABA,láctea,1.0,13.0
Ciudad Autónoma de Buenos Aires,2.0,CABA,limón,0.0,14.0
Ciudad Autónoma de Buenos Aires,2.0,CABA,maíz,0.0,15.0
Ciudad Autónoma de Buenos Aires,2.0,CABA,mani,0.0,16.0
Ciudad Autónoma de Buenos Aires,2.0,CABA,miel,0.0,17.0
Ciudad Autónoma de Buenos Aires,2.0,CABA,olivo,0.0,18.0
Ciudad Autónoma de Buenos Aires,2.0,CABA,ovino,0.0,19.0
Ciudad Autónoma de Buenos Aires,2.0,CABA,papa,0.0,20.0
Ciudad Autónoma de Buenos Aires,2.0,CABA,peras y manzanas,0.0,21.0
Ciudad Autónoma de Buenos Aires,2.0,CABA,porcino,0.0,22.0
Ciudad Autónoma de Buenos Aires,2.0,CABA,soja,0.0,23.0
Ciudad Autónoma de Buenos Aires,2.0,CABA,sorgo,0.0,24.0
Ciudad Autónoma de Buenos Aires,2.0,CABA,tabaco,0.0,25.0
Ciudad Autónoma de Buenos Aires,2.0,CABA,té,0.0,26.0
Ciudad Autónoma de Buenos Aires,2.0,CABA,tomate,0.0,27.0
Ciudad Autónoma de Buenos Aires,2.0,CABA,trigo,0.0,28.0
Ciudad Autónoma de Buenos Aires,2.0,CABA,uva,0.0,29.0
Ciudad Autónoma de Buenos Aires,2.0,CABA,yerba mate,0.0,30.0
Ciudad Autónoma de Buenos Aires,2.0,CABA,girasol,0.0,31.0
Neuquén,58.0,Neuquen,ajo,0.0,1.0
Neuquén,58.0,Neuquen,algodón,0.0,2.0
Neuquén,58.0,Neuquen,arroz,0.0,3.0
Neuquén,58.0,Neuquen,avícola,1.0,4.0
Neuquén,58.0,Neuquen,berries,0.0,5.0
Neuquén,58.0,Neuquen,bovina,0.0,6.0
Neuquén,58.0,Neuquen,caña de azucar,0.0,7.0
Neuquén,58.0,Neuquen,caprino,17.0,8.0
Neuquén,58.0,Neuquen,cebada,0.0,9.0
Neuquén,58.0,Neuquen,cítricos,0.0,10.0
Neuquén,58.0,Neuquen,colza,0.0,11.0
Neuquén,58.0,Neuquen,forestal,0.0,12.0
Neuquén,58.0,Neuquen,láctea,0.0,13.0
Neuquén,58.0,Neuquen,limón,0.0,14.0
Neuquén,58.0,Neuquen,maíz,0.0,15.0
Neuquén,58.0,Neuquen,mani,0.0,16.0
Neuquén,58.0,Neuquen,miel,0.0,17.0
Neuquén,58.0,Neuquen,olivo,0.0,18.0
Neuquén,58.0,Neuquen,ovino,1.0,19.0
Neuquén,58.0,Neuquen,papa,0.0,20.0
Neuquén,58.0,Neuquen,peras y manzanas,16.0,21.0
Neuquén,58.0,Neuquen,porcino,0.0,22.0
Neuquén,58.0,Neuquen,soja,1.0,23.0
Neuquén,58.0,Neuquen,sorgo,0.0,24.0
Neuquén,58.0,Neuquen,tabaco,0.0,25.0
Neuquén,58.0,Neuquen,té,0.0,26.0
Neuquén,58.0,Neuquen,tomate,0.0,27.0
Neuquén,58.0,Neuquen,trigo,0.0,28.0
Neuquén,58.0,Neuquen,uva,0.0,29.0
Neuquén,58.0,Neuquen,yerba mate,0.0,30.0
Neuquén,58.0,Neuquen,girasol,0.0,31.0
San Luis,74.0,San Luis,ajo,0.0,1.0
San Luis,74.0,San Luis,algodón,1.0,2.0
San Luis,74.0,San Luis,arroz,0.0,3.0
San Luis,74.0,San Luis,avícola,0.0,4.0
San Luis,74.0,San Luis,berries,2.0,5.0
San Luis,74.0,San Luis,bovina,2.0,6.0
San Luis,74.0,San Luis,caña de azucar,0.0,7.0
San Luis,74.0,San Luis,caprino,7.0,8.0
San Luis,74.0,San Luis,cebada,0.0,9.0
San Luis,74.0,San Luis,cítricos,0.0,10.0
San Luis,74.0,San Luis,colza,0.0,11.0
San Luis,74.0,San Luis,forestal,0.0,12.0
San Luis,74.0,San Luis,láctea,0.0,13.0
San Luis,74.0,San Luis,limón,0.0,14.0
San Luis,74.0,San Luis,maíz,2.0,15.0
San Luis,74.0,San Luis,mani,7.0,16.0
San Luis,74.0,San Luis,miel,3.0,17.0
San Luis,74.0,San Luis,olivo,0.0,18.0
San Luis,74.0,San Luis,ovino,0.0,19.0
San Luis,74.0,San Luis,papa,0.0,20.0
San Luis,74.0,San Luis,peras y manzanas,0.0,21.0
San Luis,74.0,San Luis,porcino,1.0,22.0
San Luis,74.0,San Luis,soja,1.0,23.0
San Luis,74.0,San Luis,sorgo,2.0,24.0
San Luis,74.0,San Luis,tabaco,0.0,25.0
San Luis,74.0,San Luis,té,0.0,26.0
San Luis,74.0,San Luis,tomate,0.0,27.0
San Luis,74.0,San Luis,trigo,0.0,28.0
San Luis,74.0,San Luis,uva,0.0,29.0
San Luis,74.0,San Luis,yerba mate,0.0,30.0
San Luis,74.0,San Luis,girasol,1.0,31.0
Santa Fe,82.0,Santa Fe,ajo,0.0,1.0
Santa Fe,82.0,Santa Fe,algodón,10.0,2.0
Santa Fe,82.0,Santa Fe,arroz,11.0,3.0
Santa Fe,82.0,Santa Fe,avícola,7.0,4.0
Santa Fe,82.0,Santa Fe,berries,7.0,5.0
Santa Fe,82.0,Santa Fe,bovina,15.0,6.0
Santa Fe,82.0,Santa Fe,caña de azucar,1.0,7.0
Santa Fe,82.0,Santa Fe,caprino,0.0,8.0
Santa Fe,82.0,Santa Fe,cebada,47.0,9.0
Santa Fe,82.0,Santa Fe,cítricos,0.0,10.0
Santa Fe,82.0,Santa Fe,colza,5.0,11.0
Santa Fe,82.0,Santa Fe,forestal,8.0,12.0
Santa Fe,82.0,Santa Fe,láctea,33.0,13.0
Santa Fe,82.0,Santa Fe,limón,0.0,14.0
Santa Fe,82.0,Santa Fe,maíz,12.0,15.0
Santa Fe,82.0,Santa Fe,mani,0.0,16.0
Santa Fe,82.0,Santa Fe,miel,14.0,17.0
Santa Fe,82.0,Santa Fe,olivo,14.0,18.0
Santa Fe,82.0,Santa Fe,ovino,1.0,19.0
Santa Fe,82.0,Santa Fe,papa,1.0,20.0
Santa Fe,82.0,Santa Fe,peras y manzanas,0.0,21.0
Santa Fe,82.0,Santa Fe,porcino,24.0,22.0
Santa Fe,82.0,Santa Fe,soja,29.0,23.0
Santa Fe,82.0,Santa Fe,sorgo,16.0,24.0
Santa Fe,82.0,Santa Fe,tabaco,0.0,25.0
Santa Fe,82.0,Santa Fe,té,0.0,26.0
Santa Fe,82.0,Santa Fe,tomate,0.0,27.0
Santa Fe,82.0,Santa Fe,trigo,16.0,28.0
Santa Fe,82.0,Santa Fe,uva,0.0,29.0
Santa Fe,82.0,Santa Fe,yerba mate,0.0,30.0
Santa Fe,82.0,Santa Fe,girasol,14.0,31.0
Chubut,26.0,Chubut,ajo,0.0,1.0
Chubut,26.0,Chubut,algodón,0.0,2.0
Chubut,26.0,Chubut,arroz,0.0,3.0
Chubut,26.0,Chubut,avícola,0.0,4.0
Chubut,26.0,Chubut,berries,1.0,5.0
Chubut,26.0,Chubut,bovina,0.0,6.0
Chubut,26.0,Chubut,caña de azucar,0.0,7.0
Chubut,26.0,Chubut,caprino,1.0,8.0
Chubut,26.0,Chubut,cebada,0.0,9.0
Chubut,26.0,Chubut,cítricos,0.0,10.0
Chubut,26.0,Chubut,colza,0.0,11.0
Chubut,26.0,Chubut,forestal,0.0,12.0
Chubut,26.0,Chubut,láctea,0.0,13.0
Chubut,26.0,Chubut,limón,0.0,14.0
Chubut,26.0,Chubut,maíz,0.0,15.0
Chubut,26.0,Chubut,mani,0.0,16.0
Chubut,26.0,Chubut,miel,0.0,17.0
Chubut,26.0,Chubut,olivo,0.0,18.0
Chubut,26.0,Chubut,ovino,21.0,19.0
Chubut,26.0,Chubut,papa,0.0,20.0
